age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,deposit,Target
56.0,housemaid,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,services,married,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
40.0,admin,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,services,married,3.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
59.0,admin,married,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
24.0,technician,single,4.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
25.0,services,single,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
25.0,services,single,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
29.0,blue-collar,single,3.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
57.0,housemaid,divorced,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
50.0,blue-collar,married,2.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
30.0,unemployed,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
